entry,at,order
"""AP @ mdgN-8uIsM"" checks",2023-05-19T05:32:28.108Z,168447434810800
"River: Q♦, 6♣, 2♣, 7♣ [7♥]",2023-05-19T05:32:26.212Z,168447434621200
"""AP @ mdgN-8uIsM"" calls 3.00",2023-05-19T05:32:25.367Z,168447434536700
"""OSig @ mX91O12t5W"" bets 3.00",2023-05-19T05:32:23.420Z,168447434342000
"""AP @ mdgN-8uIsM"" checks",2023-05-19T05:32:19.811Z,168447433981100
"Turn: Q♦, 6♣, 2♣ [7♣]",2023-05-19T05:32:17.375Z,168447433737500
"""AKos @ XdEkuctLKf"" folds",2023-05-19T05:32:16.528Z,168447433652800
"""OSig @ mX91O12t5W"" calls 1.50",2023-05-19T05:32:11.160Z,168447433116000
"""AP @ mdgN-8uIsM"" bets 1.50",2023-05-19T05:32:09.693Z,168447432969300
"""AKos @ XdEkuctLKf"" checks",2023-05-19T05:32:06.323Z,168447432632300
"Flop:  [Q♦, 6♣, 2♣]",2023-05-19T05:32:02.190Z,168447432219000
"""AP @ mdgN-8uIsM"" checks",2023-05-19T05:32:01.349Z,168447432134900
"""AKos @ XdEkuctLKf"" calls 1.00",2023-05-19T05:31:58.227Z,168447431822700
"""OSig @ mX91O12t5W"" calls 1.00",2023-05-19T05:31:55.495Z,168447431549500
"""Kid @ j_PUrV83DE"" folds",2023-05-19T05:31:54.432Z,168447431443200
"""Abhar @ XnUsg-Ux8p"" folds",2023-05-19T05:31:52.638Z,168447431263800
"""AP @ mdgN-8uIsM"" posts a big blind of 1.00",2023-05-19T05:31:51.522Z,168447431152208
"""AKos @ XdEkuctLKf"" posts a small blind of 0.50",2023-05-19T05:31:51.522Z,168447431152207
"Player stacks: #1 ""Abhar @ XnUsg-Ux8p"" (203.00) | #2 ""Kid @ j_PUrV83DE"" (385.26) | #4 ""OSig @ mX91O12t5W"" (252.23) | #7 ""AKos @ XdEkuctLKf"" (263.68) | #9 ""AP @ mdgN-8uIsM"" (214.93)",2023-05-19T05:31:51.522Z,168447431152201
"-- starting hand #314 (id: lwmvtr0qeito)  (No Limit Texas Hold'em) (dealer: ""OSig @ mX91O12t5W"") --",2023-05-19T05:31:51.522Z,168447431152200
"""AP @ mdgN-8uIsM"" shows a 3♣, K♣.",2023-05-19T05:31:48.883Z,168447430888300
"""Kid @ j_PUrV83DE"" shows a 8♣, 7♥.",2023-05-19T05:31:47.883Z,168447430788300
"-- ending hand #313 --",2023-05-19T05:31:47.122Z,168447430712202
"""AP @ mdgN-8uIsM"" collected 21.00 from pot",2023-05-19T05:31:47.122Z,168447430712201
"Uncalled bet of 10.50 returned to ""AP @ mdgN-8uIsM""",2023-05-19T05:31:47.122Z,168447430712200
"""OSig @ mX91O12t5W"" folds",2023-05-19T05:31:46.300Z,168447430630000
"""AP @ mdgN-8uIsM"" bets 10.50",2023-05-19T05:31:45.130Z,168447430513000
"""OSig @ mX91O12t5W"" checks",2023-05-19T05:31:35.730Z,168447429573000
"River: 7♦, 3♦, 3♠, 10♣ [7♠]",2023-05-19T05:31:33.907Z,168447429390700
"""OSig @ mX91O12t5W"" calls 7.00",2023-05-19T05:31:33.085Z,168447429308500
"The admin approved the player ""joey @ LjnVHfEU0Y"" participation with a stack of 50.00.",2023-05-19T05:31:26.066Z,168447428606600
"""Kid @ j_PUrV83DE"" folds",2023-05-19T05:31:21.716Z,168447428171600
"""AP @ mdgN-8uIsM"" raises to 7.00",2023-05-19T05:31:20.265Z,168447428026500
"The player ""joey @ LjnVHfEU0Y"" requested a seat.",2023-05-19T05:31:18.500Z,168447427850000
"""OSig @ mX91O12t5W"" bets 3.50",2023-05-19T05:31:14.060Z,168447427406000
"Turn: 7♦, 3♦, 3♠ [10♣]",2023-05-19T05:31:09.814Z,168447426981400
"""Kid @ j_PUrV83DE"" calls 1.00",2023-05-19T05:31:08.964Z,168447426896400
"""AP @ mdgN-8uIsM"" calls 1.00",2023-05-19T05:31:06.644Z,168447426664400
"""AKos @ XdEkuctLKf"" folds",2023-05-19T05:30:51.901Z,168447425190100
"""OSig @ mX91O12t5W"" bets 1.00",2023-05-19T05:30:50.975Z,168447425097500
"Flop:  [7♦, 3♦, 3♠]",2023-05-19T05:30:46.458Z,168447424645800
"""AKos @ XdEkuctLKf"" checks",2023-05-19T05:30:45.592Z,168447424559200
"""OSig @ mX91O12t5W"" calls 1.00",2023-05-19T05:30:44.131Z,168447424413100
"""Kid @ j_PUrV83DE"" calls 1.00",2023-05-19T05:30:43.211Z,168447424321100
"""Abhar @ XnUsg-Ux8p"" folds",2023-05-19T05:30:42.136Z,168447424213600
